userId,recommendedItems
naver52379240,"['JqhbgAtLeEvZCjFH6QIX', '1NHU4YrAdbDhk3lRFH7J', 'SeanMcCtzrzt7CKQjAyB', 'sg9Rd22pYDUtL1RRIPDr', 'sd7TSkEqI7V6884MtjWX', 'QAm5bifGxXMD1jKU6DLv', 'EMOZiiQ5mVoydKXdQZYr', 'uaX5abXZPoDB1u3iSgQ8', 'UMAgzvWg1Yy1DJFfYPs4', 'qq02eRQdXeKaqkv0Qga4']"
kakao1269618524,"['7unDdqNcp8DdcUnDAQHz', 'EMOZiiQ5mVoydKXdQZYr', 'Xl6yK2a732vqL9P09cLq', 'sd7TSkEqI7V6884MtjWX', 'sfCxoddIvlEWDmBXckPt', 'r4Qwy2ro3YXFDPhHnMbF', 'SKdjJoL9NxTqBNYRDV2L', 'pHIZchR7a0C5hMpVvnp5', 'GpavGthCRsjN9mgqQZyD', '55cnfmHHwtNy0lweQit2']"
kakao1687359407,"['cRAvQ0Jc126ZOKHYKLKt', 'EMOZiiQ5mVoydKXdQZYr', 'ffIsCb2BMtm9dT3eIrrj', 'kiQKBQkDH2pOCFJugsoa', 'pSUMF0cjZoogJ9PBskKi', 'EpcQ401Xd', 'v4biBdYz5wIqcIikubdL', 'sfCxoddIvlEWDmBXckPt', 'ngBNLJZUFcPrYywuq3tm', 'jHN2gG8ubRySvniNbl68']"
kakao1333744738,"['EvWWJskrWVn6W8afK0Pz', 'pSUMF0cjZoogJ9PBskKi', '8g4FzCqJG7m6dAeXDJAI', 'v4biBdYz5wIqcIikubdL', 'YcgoFheV411Sbbw1YRWP', 'EMOZiiQ5mVoydKXdQZYr', 'gaXZqlOAWzmD7novUID9', '6sm4hPnxKPTAkRVmFdRy', 'sKgc903AeIueQu5C3vko', 'n68JnEv9yvfgk9wJYW9n']"
kakao1390598706,"['4kCCDcucych6ED9IbVa0', 'Nl3FICmR5yj9gDBY3JHt', 'yDF06KBZ1b3uHbXwHOD2', 'DnBwkpXT4J3iLHOiTcV8', 'eoRWV33KBKEx8hJwX0mI', '0bTKRwIRLn6b1xp47FB0', '869pu0yIfIU2cP9up69C', 'Lu3F6ODgZ62ePTxk08Ig', 'JfoT3AUHI5cXqmzW7Nuy', 'uLxk3mHrO9KoFJRIAFsJ']"
kakao1610161885,"['HYgFVlaaCL3sD2VaWngx', '5kYZkAgBimuBC3LkDinW', 'QmOX26yYRlL6GTmH4UOA', 'QAm5bifGxXMD1jKU6DLv', 'nE3Rka3C8quVUg6sJTXu', 'tc4HO2QBtuOlHPYWUILG', 'dGZZYjDvTZrWM5CvylYz', 'v4biBdYz5wIqcIikubdL', 'AKwX4czUR18hIyk1A8gk', 'ukts7At0jY1UwxzHabT2']"
L5faBLzvoSh6UHfNnbFXXTYj2Jk2,"['gJZbhTYCcwYNSoRVYbM2', '5NI9ErVzezsORFbx6YDk', '7HgOnALNS50weWf4lHo9', 'Iup4QwehHraoIlTQLay0', 'rZh71KBPE5puitG1JPHY', '09GSRFWW1luDeCYF8BnH', 'cRfhyRrJQPbRq1er28pX', 'nE3Rka3C8quVUg6sJTXu', 'fINf7m4YECIU8howRM79', 'lQR486i75x8hqjlKJddJ']"
eu2Dyfv3zqcgKRii34CFSZhG8QC3,"['UMAgzvWg1Yy1DJFfYPs4', 'uaX5abXZPoDB1u3iSgQ8', 'JqhbgAtLeEvZCjFH6QIX', '46XGCJBSgZ9kkLVfnxXg', '1NHU4YrAdbDhk3lRFH7J', 'SeanMcCtzrzt7CKQjAyB', '5l7NBhgZc8f31346BXfd', 'qq02eRQdXeKaqkv0Qga4', 'tfW71eCAHvUbcQx0yVyY', 'xVYqd2NYQ5KIfx3Hyh0y']"
fv4vWkNKRKNEAgCJIg5a0jEcqJG2,"['gq4KSJAqJcfRmNeGTssp', 'ydfUVfkzx7lChv3ylmlF', 'iE1dNfJsdt0q8AFJ1XpH', 'pSUMF0cjZoogJ9PBskKi', 'GRFtLLrEt01HdCovvnfs', 'VGY5NiA3jGsIKfZIMspH', 'MPWA7mK3vsKBnfgDY7Ld', 'Iup4QwehHraoIlTQLay0', '5NI9ErVzezsORFbx6YDk', 'ukts7At0jY1UwxzHabT2']"
kakao1636024649,"['wUYT7HMbWsjJSo6S1FRi', 'rqk71UKzKyGv8sW5heo8', 'WRtHxKybtbd6sTSLeNfG', '1Wig3I43LjSzNoqzVMBd', 'ZLJyYWqrnxgziD56Paiw', '7HOmU1C4REEGY9NpDiAL', 'i0XwFMVipOTG17rDuS8P', 'sejywu5bBb8bVu5JJqDd', 'b2Bp614MUzZbK4RxutA8', '6vzDIxs8V3VzNj2xevMS']"
